dataset,model,seed,A_before,A_after,A_T2,avg_final,raw_forgetting,normalized_forgetting,status,time_sec
mnist,hebbian_oja,0,0.2340922358435493,0.0,0.2429541246657066,0.1214770623328533,0.2340922358435493,1.0,completed,5.634914398193359
mnist,sparse_hebbian_oja,0,0.1967308814944541,0.0,0.2022217650689158,0.1011108825344579,0.1967308814944541,1.0,completed,4.487488031387329
mnist,cnn,0,0.1965362911072193,0.1965362911072193,0.0,0.0982681455536096,0.0,0.0,completed,9.23421335220337
mnist,hebbian_oja_replay_10pct,0,0.19108776026464291,0.0,0.2211479119522732,0.1105739559761366,0.19108776026464291,1.0,completed,5.860398769378662
mnist,sparse_hebbian_oja_replay_10pct,0,0.19673088149445417,0.0,0.20119317012960297,0.10059658506480149,0.19673088149445417,1.0,completed,4.940745830535889
mnist,cnn_replay_10pct,0,0.1965362911072193,0.1965362911072193,0.0,0.09826814555360965,0.0,0.0,completed,9.659533023834229
mnist,hebbian_oja,1,0.27359408445222805,0.0,0.22238222587944867,0.11119111293972433,0.27359408445222805,1.0,completed,4.659507751464844
mnist,sparse_hebbian_oja,1,0.19692547188168905,0.0,0.20037029417815264,0.10018514708907632,0.19692547188168905,1.0,completed,4.740394353866577
mnist,hebbian_oja_replay_10pct,1,0.25374586495427126,0.0,0.21147911952273196,0.10573955976136598,0.25374586495427126,1.0,completed,6.132467031478882
mnist,sparse_hebbian_oja_replay_10pct,1,0.19692547188168905,0.0,0.20037029417815264,0.10018514708907632,0.19692547188168905,1.0,completed,4.817612409591675
mnist,cnn,1,0.2946098462735941,0.01634559252772913,0.1633408763628883,0.08984323444530871,0.27826425374586494,0.9445178335535006,completed,8.963788032531738
mnist,cnn_replay_10pct,1,0.2946098462735941,0.020237400272426542,0.15593499279983541,0.08808619653613098,0.27437244600116756,0.9313077939233818,completed,9.480805397033691
mnist,hebbian_oja,2,0.34247908153337225,0.0,0.20757045875334293,0.10378522937667146,0.34247908153337225,1.0,completed,4.928531646728516
mnist,sparse_hebbian_oja,2,0.19147694103911267,0.0,0.20757045875334293,0.10378522937667146,0.19147694103911267,1.0,completed,5.88224196434021
mnist,hebbian_oja_replay_10pct,2,0.22338976454563145,0.0,0.1752725776589179,0.08763628882945895,0.22338976454563145,1.0,completed,4.220543384552002
mnist,sparse_hebbian_oja_replay_10pct,2,0.1965362911072193,0.0,0.19707879037235138,0.09853939518617569,0.1965362911072193,1.0,completed,4.857170104980469
mnist,cnn,2,0.15314263475384315,0.19381202568593112,0.0,0.09690601284296556,-0.04066939093208796,-0.2655654383735706,completed,8.250169277191162
mnist,cnn_replay_10pct,2,0.15314263475384315,0.194006616073166,0.0,0.097003308036583,-0.04086398131932284,-0.2668360864040662,completed,9.95431923866272
mnist,hebbian_oja,3,0.1905039891029383,0.0,0.21168483851059453,0.10584241925529726,0.1905039891029383,1.0,completed,5.734046697616577
mnist,sparse_hebbian_oja,3,0.23525977816695856,0.0,0.3270931907015017,0.16354659535075086,0.23525977816695856,1.0,completed,4.631220102310181
mnist,hebbian_oja_replay_10pct,3,0.32593889861840825,0.0,0.20098745114174038,0.10049372557087019,0.32593889861840825,1.0,completed,4.4531919956207275
mnist,sparse_hebbian_oja_replay_10pct,3,0.23525977816695856,0.0,0.3373791400946307,0.16868957004731536,0.23525977816695856,1.0,completed,4.393321752548218
mnist,cnn,3,0.1906985794901732,0.1906985794901732,0.0,0.0953492897450866,0.0,0.0,completed,9.040062427520752
mnist,cnn_replay_10pct,3,0.1906985794901732,0.1906985794901732,0.0,0.0953492897450866,0.0,0.0,completed,10.935828924179077
mnist,hebbian_oja,4,0.3249659466822339,0.0,0.20407323595967908,0.10203661797983954,0.3249659466822339,1.0,completed,6.044960260391235
mnist,sparse_hebbian_oja,4,0.20529285853278847,0.0,0.20037029417815264,0.10018514708907632,0.20529285853278847,1.0,completed,4.7520976066589355
mnist,hebbian_oja_replay_10pct,4,0.28410196536291105,0.0,0.19707879037235138,0.09853939518617569,0.28410196536291105,1.0,completed,4.7889344692230225
mnist,sparse_hebbian_oja_replay_10pct,4,0.20529285853278847,0.0,0.20037029417815264,0.10018514708907632,0.20529285853278847,1.0,completed,4.595144033432007
mnist,cnn,4,0.17299085425179997,0.0,0.1736268257560173,0.08681341287800864,0.17299085425179997,1.0,completed,9.281924724578857
mnist,cnn_replay_10pct,4,0.40241292080171237,0.23973535707336058,0.0,0.11986767853668029,0.1626775637283518,0.40425531914893614,completed,10.84977388381958
fashion_mnist,hebbian_oja,0,0.2016,0.0,0.1998,0.0999,0.2016,1.0,completed,4.157684564590454
fashion_mnist,sparse_hebbian_oja,0,0.2,0.0,0.2002,0.1001,0.2,1.0,completed,4.329424619674683
fashion_mnist,hebbian_oja_replay_10pct,0,0.2162,0.0,0.2116,0.1058,0.2162,1.0,completed,4.1339991092681885
fashion_mnist,sparse_hebbian_oja_replay_10pct,0,0.2,0.0,0.2,0.1,0.2,1.0,completed,4.403292417526245
fashion_mnist,cnn,0,0.2844,0.2,0.0,0.1,0.08439999999999998,0.2967651195499296,completed,9.857452630996704
fashion_mnist,cnn_replay_10pct,0,0.188,0.1862,0.2042,0.19519999999999998,0.001799999999999996,0.009574468085106362,completed,11.08051586151123
fashion_mnist,hebbian_oja,1,0.2006,0.0,0.2,0.1,0.2006,1.0,completed,4.701555013656616
fashion_mnist,sparse_hebbian_oja,1,0.1842,0.0,0.233,0.1165,0.1842,1.0,completed,4.413393497467041
fashion_mnist,hebbian_oja_replay_10pct,1,0.1936,0.0,0.2036,0.1018,0.1936,1.0,completed,4.683608531951904
fashion_mnist,sparse_hebbian_oja_replay_10pct,1,0.1842,0.0,0.1704,0.0852,0.1842,1.0,completed,5.065054893493652
fashion_mnist,cnn,1,0.2,0.209,0.0,0.1045,-0.00899999999999998,-0.0449999999999999,completed,10.799764394760132
fashion_mnist,cnn_replay_10pct,1,0.2104,0.0004,0.1964,0.0984,0.21,0.9980988593155893,completed,10.101633548736572
fashion_mnist,hebbian_oja,2,0.2032,0.0,0.2,0.1,0.2032,1.0,completed,4.22037148475647
fashion_mnist,sparse_hebbian_oja,2,0.2018,0.0,0.2002,0.1001,0.2018,1.0,completed,4.764070510864258
fashion_mnist,hebbian_oja_replay_10pct,2,0.1866,0.0,0.2098,0.1049,0.1866,1.0,completed,5.7137415409088135
fashion_mnist,sparse_hebbian_oja_replay_10pct,2,0.2018,0.0,0.1934,0.0967,0.2018,1.0,completed,4.726420164108276
fashion_mnist,cnn,2,0.2202,0.1998,0.0002,0.1,0.0204,0.09264305177111717,completed,9.570525407791138
fashion_mnist,cnn_replay_10pct,2,0.2202,0.1856,0.1744,0.18,0.03460000000000002,0.15712988192552232,completed,10.163776874542236
fashion_mnist,hebbian_oja,3,0.1452,0.0,0.2,0.1,0.1452,1.0,completed,5.619762897491455
fashion_mnist,sparse_hebbian_oja,3,0.2,0.0,0.2,0.1,0.2,1.0,completed,4.791504859924316
fashion_mnist,hebbian_oja_replay_10pct,3,0.1502,0.0,0.2188,0.1094,0.1502,1.0,completed,4.727554559707642
fashion_mnist,sparse_hebbian_oja_replay_10pct,3,0.2,0.0,0.2004,0.1002,0.2,1.0,completed,4.526280164718628
fashion_mnist,cnn,3,0.1984,0.195,0.035,0.115,0.0033999999999999864,0.01713709677419348,completed,8.89962649345398
fashion_mnist,cnn_replay_10pct,3,0.1984,0.0,0.2444,0.1222,0.1984,1.0,completed,12.175145626068115
fashion_mnist,hebbian_oja,4,0.1998,0.0,0.2244,0.1122,0.1998,1.0,completed,5.4060399532318115
fashion_mnist,sparse_hebbian_oja,4,0.2046,0.0,0.2002,0.1001,0.2046,1.0,completed,4.703981161117554
fashion_mnist,hebbian_oja_replay_10pct,4,0.1902,0.0,0.2194,0.1097,0.1902,1.0,completed,4.591038942337036
fashion_mnist,sparse_hebbian_oja_replay_10pct,4,0.2046,0.0,0.2002,0.1001,0.2046,1.0,completed,4.6552488803863525
fashion_mnist,cnn,4,0.2054,0.0,0.1816,0.0908,0.2054,1.0,completed,9.313785076141357
fashion_mnist,cnn_replay_10pct,4,0.1964,0.0784,0.124,0.1012,0.118,0.6008146639511202,completed,11.055980205535889
