dataset,seed,source,linear_probe_accuracy,silhouette,davies_bouldin,fisher_ratio,mean_intra_class_distance,mean_inter_class_distance,inter_intra_ratio,activation_sparsity,dead_unit_rate,mean_activation_per_unit,utilization_entropy,class_selectivity_index,time_s,status,error
digits,0,raw_pixels,0.9555555555555556,0.1133297905325889,2.370373833187992,0.4974360822413818,5.714741230010986,7.31347131729126,1.2797554622573253,0.4922309027777777,0.078125,0.3025336563587188,3.827373388586721,0.4319839477539062,0.2147529125213623,ok,
digits,0,oja,0.9638888888888888,0.0619042702019214,2.9339417869381617,0.3584629018930971,9.108372688293455,10.469578742980955,1.1494455804320056,0.3305772569444444,0.03125,0.9369863271713256,4.605435658713303,0.3440203070640564,1.2936644554138184,ok,
digits,0,sparse_oja,0.8,-0.0501090623438358,4.266690305162912,0.2459001631349179,3.2796125411987305,3.084153175354004,0.9404016868476478,0.8984375,0.875,0.263214111328125,2.668471776084384,0.0228224676102399,1.6984057426452637,ok,
digits,0,homeostatic_sparse_oja,0.825,-0.0423821173608303,4.067943693257164,0.2644185469372557,3.2753214836120605,3.1287312507629395,0.9552440140196864,0.8984375,0.875,0.2529422640800476,2.6832124083275297,0.0231239944696426,1.7973952293395996,ok,
digits,1,raw_pixels,0.9555555555555556,0.1133297905325889,2.370373833187992,0.4974360822413818,5.714741230010986,7.31347131729126,1.2797554622573253,0.4922309027777777,0.078125,0.3025336563587188,3.827373388586721,0.4319839477539062,0.2182445526123047,ok,
digits,1,oja,0.9611111111111112,0.0774124562740325,2.856784437794076,0.388386830586262,9.014543533325195,10.670868873596191,1.183739234528122,0.3842230902777778,0.0234375,0.7552409172058105,4.580374097286708,0.3879980742931366,1.2990946769714355,ok,
digits,1,sparse_oja,0.8222222222222222,-0.0398924499750137,3.7522099231502937,0.1953402015239599,3.676704168319702,3.5525057315826416,0.9662201687398684,0.8984375,0.8359375,0.2478200048208236,2.698887315574294,0.056349080055952,1.3984591960906982,ok,
digits,1,homeostatic_sparse_oja,0.8138888888888889,-0.0326971784234046,3.652426252426882,0.2121149310557116,3.7277557849884033,3.657010316848755,0.9810219654853038,0.8984375,0.8359375,0.2371025532484054,2.7151475295307983,0.0565397664904594,1.389736890792847,ok,
digits,2,raw_pixels,0.9555555555555556,0.1133297905325889,2.370373833187992,0.4974360822413818,5.714741230010986,7.31347131729126,1.2797554622573253,0.4922309027777777,0.078125,0.3025336563587188,3.827373388586721,0.4319839477539062,0.2010788917541504,ok,
digits,2,oja,0.9583333333333334,0.0721839517354965,2.768753648434271,0.3860097398938253,9.06605339050293,10.62436294555664,1.171884002466527,0.3296657986111111,0.03125,0.8741596937179565,4.62527940237675,0.3407444953918457,1.2094414234161377,ok,
digits,2,sparse_oja,0.7888888888888889,-0.0248626228421926,4.290672192595155,0.2307677735306232,3.138744354248047,2.967104434967041,0.9453157347772329,0.8984375,0.875,0.257473349571228,2.6193220732006,0.0234734322875738,1.393099308013916,ok,
digits,2,homeostatic_sparse_oja,0.7916666666666666,-0.0255078412592411,4.361026304932155,0.2337421911767417,3.229446649551392,3.0881612300872803,0.9562508861862616,0.8984375,0.8671875,0.246504932641983,2.633121766255228,0.0302201099693775,1.394500494003296,ok,
digits,3,raw_pixels,0.9555555555555556,0.1133297905325889,2.370373833187992,0.4974360822413818,5.714741230010986,7.31347131729126,1.2797554622573253,0.4922309027777777,0.078125,0.3025336563587188,3.827373388586721,0.4319839477539062,0.2911946773529053,ok,
digits,3,oja,0.9472222222222222,0.075047381222248,2.8291631235567976,0.365388988318471,8.99311351776123,10.58991813659668,1.1775585956861552,0.3376302083333333,0.0234375,0.9781929850578308,4.594148082527921,0.3499042689800262,1.206431865692139,ok,
digits,3,sparse_oja,0.8638888888888889,-0.0180083215236663,3.333442179103385,0.2360594160778856,4.469617366790772,4.811642646789551,1.0765222705135349,0.8984375,0.75,0.2135704159736633,2.831966641407785,0.1327915340662002,1.2960524559020996,ok,
digits,3,homeostatic_sparse_oja,0.8472222222222222,-0.0010654848301783,3.401693975864553,0.2497124863157395,4.547730922698975,4.9542975425720215,1.0893998822467184,0.8984375,0.7421875,0.2041463404893875,2.86347871365051,0.1353123784065246,1.2918214797973633,ok,
digits,4,raw_pixels,0.9555555555555556,0.1133297905325889,2.370373833187992,0.4974360822413818,5.714741230010986,7.31347131729126,1.2797554622573253,0.4922309027777777,0.078125,0.3025336563587188,3.827373388586721,0.4319839477539062,0.2919313907623291,ok,
digits,4,oja,0.9583333333333334,0.0763699635863304,2.790862782391366,0.3867337914689741,9.05114459991455,10.603983879089355,1.1715627510219908,0.2505425347222222,0.0234375,1.048290491104126,4.683225117300212,0.2885575592517853,1.206864595413208,ok,
digits,4,sparse_oja,0.8055555555555556,-0.0489105954766273,4.582111896333256,0.2095944319951521,3.2274489402771,2.9945013523101807,0.9278229953267212,0.8984375,0.8671875,0.265489399433136,2.630147592540552,0.0322285220026969,1.5923516750335691,ok,
digits,4,homeostatic_sparse_oja,0.8083333333333333,-0.042405866086483,4.48237151823224,0.22035149676824883,3.2219529151916504,3.0285847187042236,0.9399841614768706,0.8984375,0.8671875,0.2549523711204529,2.631961149359965,0.03249325603246689,1.2953064441680908,ok,
