dataset,split,model,replay_frac,n,A_before_mean,A_before_std,A_after_mean,A_after_std,A_T2_mean,A_T2_std,avg_final_mean,avg_final_std,raw_forgetting_mean,raw_forgetting_std,normalized_forgetting_mean,normalized_forgetting_std
fashion_mnist,fixed_10k_train_full_test,homeostatic_sparse_oja,0.0,5,0.42148,0.12901327683614583,0.0,0.0,0.5481199999999999,0.09938954472176638,0.27405999999999997,0.04969477236088319,0.42148,0.12901327683614583,1.0,0.0
fashion_mnist,fixed_10k_train_full_test,homeostatic_sparse_oja,0.01,5,0.42148,0.12901327683614583,0.06472,0.05681599774711344,0.49471999999999994,0.09141471216385251,0.27972,0.03868826178571479,0.35676,0.13136619961009757,0.8396435723366619,0.10706841979504365
fashion_mnist,fixed_10k_train_full_test,homeostatic_sparse_oja,0.05,5,0.42148,0.12901327683614583,0.07392,0.08636569689407943,0.4692,0.14241033670348513,0.27155999999999997,0.10348065712972641,0.34756000000000004,0.12935899814083288,0.8364803309580712,0.1721722419071754
fashion_mnist,fixed_10k_train_full_test,homeostatic_sparse_oja,0.1,5,0.42148,0.12901327683614583,0.12972,0.06667312502050583,0.47620000000000007,0.13565255618675234,0.30295999999999995,0.048460235244992364,0.29175999999999996,0.16868690049912,0.6128906285074162,0.30191311415295147
fashion_mnist,fixed_10k_train_full_test,homeostatic_sparse_oja,0.2,5,0.42148,0.12901327683614583,0.11324000000000001,0.10087857255135999,0.46568,0.1012717216205985,0.28945999999999994,0.02896339759075235,0.30823999999999996,0.07104774732530234,0.7756832526703124,0.18149554413410998
fashion_mnist,fixed_10k_train_full_test,oja,0.0,5,0.61168,0.032493839416110844,0.0,0.0,0.69908,0.08065597064074052,0.34954,0.04032798532037026,0.61168,0.032493839416110844,1.0,0.0
fashion_mnist,fixed_10k_train_full_test,oja,0.01,5,0.61168,0.032493839416110844,0.044919999999999995,0.04250206583214515,0.61812,0.06128707530956262,0.33152,0.0362505393063331,0.56676,0.03187661211609541,0.9287571853165604,0.06365876673862506
fashion_mnist,fixed_10k_train_full_test,oja,0.05,5,0.61168,0.032493839416110844,0.055720000000000006,0.058610251662998346,0.6537599999999999,0.10860058195055862,0.35473999999999994,0.03463822166335911,0.55596,0.06885990415328792,0.9083927303622769,0.09791739093104342
fashion_mnist,fixed_10k_train_full_test,oja,0.1,5,0.61168,0.032493839416110844,0.11699999999999999,0.07518318961044416,0.59432,0.12848468235552438,0.35566,0.049964451362944036,0.4946799999999999,0.09313745540865931,0.8056308114534447,0.1250698159022989
fashion_mnist,fixed_10k_train_full_test,oja,0.2,5,0.61168,0.032493839416110844,0.13048,0.08552188959558833,0.59948,0.10354543736930179,0.36497999999999997,0.04996708516613711,0.48119999999999996,0.07978370761001272,0.78853196592697,0.1394238391395516
fashion_mnist,fixed_10k_train_full_test,sparse_oja,0.0,5,0.43864000000000003,0.11928295100306666,0.0,0.0,0.56396,0.07603298231688665,0.28198,0.03801649115844333,0.43864000000000003,0.11928295100306666,1.0,0.0
fashion_mnist,fixed_10k_train_full_test,sparse_oja,0.01,5,0.43864000000000003,0.11928295100306666,0.04516,0.06128509117232347,0.47372,0.11996296761917821,0.25944,0.03990326302446958,0.39348,0.15092369462745073,0.8716563436859305,0.15408310526619812
fashion_mnist,fixed_10k_train_full_test,sparse_oja,0.05,5,0.43864000000000003,0.11928295100306666,0.028560000000000002,0.038543564962260565,0.47544000000000003,0.13888656666503063,0.252,0.08145359415028905,0.41007999999999994,0.11165802075981823,0.9419367152663002,0.07822444954649549
fashion_mnist,fixed_10k_train_full_test,sparse_oja,0.1,5,0.43864000000000003,0.11928295100306666,0.13620000000000002,0.1005278866782745,0.51492,0.05687735577538745,0.32555999999999996,0.029578951976025128,0.30243999999999993,0.18036041250784499,0.6123282460863261,0.3440852339443811
fashion_mnist,fixed_10k_train_full_test,sparse_oja,0.2,5,0.43864000000000003,0.11928295100306666,0.16355999999999998,0.1493683982641576,0.43423999999999996,0.1209965553228686,0.2989,0.07493306346333371,0.27507999999999994,0.10831041316512462,0.6815508919751387,0.29216245058224977
mnist,fixed_10k_train_full_test,homeostatic_sparse_oja,0.0,5,0.7317766102354544,0.0606174012018143,0.0,0.0,0.48426249742851263,0.09276160924142622,0.24213124871425631,0.04638080462071313,0.7317766102354544,0.0606174012018143,1.0,0.0
mnist,fixed_10k_train_full_test,homeostatic_sparse_oja,0.01,5,0.7317766102354544,0.0606174012018143,0.032457676590776356,0.02786175580053234,0.5584859082493314,0.033468500470087946,0.2954717924200539,0.025413311694843097,0.6993189336446779,0.054996820581241675,0.9565693258249537,0.034778410382941764
mnist,fixed_10k_train_full_test,homeostatic_sparse_oja,0.05,5,0.7317766102354544,0.0606174012018143,0.1357073360575987,0.04406440778160018,0.5372145649043406,0.06777853435841506,0.3364609504809697,0.04459295136177164,0.5960692741778556,0.10326685797630629,0.8079985882051606,0.0814829346720727
mnist,fixed_10k_train_full_test,homeostatic_sparse_oja,0.1,5,0.7317766102354544,0.0606174012018143,0.2200428098851916,0.04199518439484664,0.5206336144826167,0.05329089133067626,0.37033821218390417,0.011566321719325024,0.5117338003502627,0.047510891832574065,0.7003047466833581,0.04591479021938679
mnist,fixed_10k_train_full_test,homeostatic_sparse_oja,0.2,5,0.7317766102354544,0.0606174012018143,0.2587662969449309,0.07077628767282831,0.5068915860933964,0.09289208949046776,0.38282894151916363,0.03251962567430139,0.4730103132905234,0.07649797335103715,0.6464878071690497,0.08910286054201674
mnist,fixed_10k_train_full_test,oja,0.0,5,0.9047285464098074,0.014400004203902344,0.0,0.0,0.7969553589796338,0.05747127295835029,0.3984776794898169,0.02873563647917513,0.9047285464098074,0.014400004203902344,1.0,0.0
mnist,fixed_10k_train_full_test,oja,0.01,5,0.9047285464098074,0.014400004203902344,0.10753064798598944,0.05600561507354977,0.8327093190701502,0.031352923583323894,0.4701199835280698,0.016357686922331385,0.7971978984238179,0.046557863752170636,0.8818286595546969,0.05962275128185533
mnist,fixed_10k_train_full_test,oja,0.05,5,0.9047285464098074,0.014400004203902344,0.3227086981903094,0.11779780101669576,0.7751080024686278,0.0499071720620008,0.5489083503294687,0.0763204225838058,0.582019848219498,0.12923479983217145,0.641631252077771,0.133956824202662
mnist,fixed_10k_train_full_test,oja,0.1,5,0.9047285464098074,0.014400004203902344,0.5016151002140493,0.06599195532392593,0.7730508125900021,0.06950055784624677,0.6373329564020257,0.021716570183633543,0.40311344619575795,0.07589041068533905,0.4446813263662042,0.07930175658969145
mnist,fixed_10k_train_full_test,oja,0.2,5,0.9047285464098074,0.014400004203902344,0.55781280404748,0.10060700149469301,0.7582390454638962,0.03146287479717637,0.6580259247556881,0.0437886937914431,0.34691574236232736,0.09995465534664871,0.38351422214416014,0.10937621569991117
mnist,fixed_10k_train_full_test,sparse_oja,0.0,5,0.7315431017707726,0.05828553496202744,0.0,0.0,0.5132688747171363,0.06710917891574848,0.25663443735856817,0.03355458945787427,0.7315431017707726,0.05828553496202744,1.0,0.0
mnist,fixed_10k_train_full_test,sparse_oja,0.01,5,0.7315431017707726,0.05828553496202744,0.03428682623078416,0.0336564649819157,0.5535486525406295,0.03869954192732164,0.2939177393857068,0.02417534503239929,0.6972562755399883,0.043326920743400006,0.9553960366250343,0.0424189579221711
mnist,fixed_10k_train_full_test,sparse_oja,0.05,5,0.7315431017707726,0.05828553496202744,0.16501264837517024,0.05381653891845794,0.5647397654803539,0.038093335548631084,0.36487620692776207,0.04509139537665156,0.5665304533956023,0.1082069955702517,0.767504091410842,0.09330606665872179
mnist,fixed_10k_train_full_test,sparse_oja,0.1,5,0.7315431017707726,0.05828553496202744,0.24039696438995914,0.04453401571074877,0.5043818144414729,0.04830961676159879,0.3723893894157161,0.025740900905815357,0.4911461373808133,0.030530729464256938,0.6737530798583087,0.043497963215215006
mnist,fixed_10k_train_full_test,sparse_oja,0.2,5,0.7315431017707726,0.05828553496202744,0.2704417201790231,0.0672335441798168,0.5314955770417609,0.07538040029690675,0.400968648610392,0.017362335402467687,0.46110138159174935,0.08192154540200171,0.628867811595043,0.08954327353998603
