dataset,feature_source,readout,n,accuracy_mean,accuracy_std,feature_sparsity_mean,feature_sparsity_std,feature_train_time_s_mean,feature_train_time_s_std,readout_train_time_s_mean,readout_train_time_s_std
digits,homeostatic_sparse_oja,knn5,5,0.7827777777777778,0.01935694598909373,0.8984375,0.0,0.31224985122680665,0.14228301401231894,0.8756476879119873,0.04265875238793363
digits,homeostatic_sparse_oja,linear_svm,5,0.8338888888888889,0.029048703249780823,0.8984375,0.0,0.31224985122680665,0.14228301401231894,0.06261463165283197,0.03854417080848646
digits,homeostatic_sparse_oja,logreg,5,0.8172222222222223,0.018459164139817946,0.8984375,0.0,0.31224985122680665,0.14228301401231894,0.9675613880157471,0.10070360728217044
digits,homeostatic_sparse_oja,ridge,5,0.7844444444444445,0.02786652489774323,0.8984375,0.0,0.31224985122680665,0.14228301401231894,0.0188418865203857,0.030454984522214554
digits,homeostatic_sparse_oja,small_mlp,5,0.5683333333333334,0.0742991949510247,0.8984375,0.0,0.31224985122680665,0.14228301401231894,0.27171893119812013,0.07666322859363846
digits,mlp_hidden,knn5,2,0.9750000000000001,0.005555555555555591,0.4388888888888889,0.011371527777777751,0.6036325693130493,0.5097969770431519,0.7881584167480469,0.0002961158752441406
digits,mlp_hidden,linear_svm,2,0.9805555555555556,0.0,0.4388888888888889,0.011371527777777751,0.6036325693130493,0.5097969770431519,0.15909206867218012,0.04035079479217531
digits,mlp_hidden,logreg,2,0.9555555555555556,0.005555555555555647,0.4388888888888889,0.011371527777777751,0.6036325693130493,0.5097969770431519,0.1091474294662475,0.007608056068420396
digits,mlp_hidden,ridge,2,0.961111111111111,0.008333333333333415,0.4388888888888889,0.011371527777777751,0.6036325693130493,0.5097969770431519,0.0440677404403686,0.0401102304458618
digits,mlp_hidden,small_mlp,2,0.925,0.005555555555555591,0.4388888888888889,0.011371527777777751,0.6036325693130493,0.5097969770431519,0.23242068290710444,0.009974718093872056
digits,oja,knn5,5,0.96,0.006478835438716985,0.32652777777777775,0.04301631241098462,0.045698213577270434,0.02283901699733627,0.7810264110565186,0.10463960625170884
digits,oja,linear_svm,5,0.975,0.004303314829119294,0.32652777777777775,0.04301631241098462,0.045698213577270434,0.02283901699733627,0.21239137649536127,0.0048597554858906015
digits,oja,logreg,5,0.9577777777777777,0.005665577237325327,0.32652777777777775,0.04301631241098462,0.045698213577270434,0.02283901699733627,1.0291967868804932,0.09425908987194592
digits,oja,ridge,5,0.968888888888889,0.005386310952684713,0.32652777777777775,0.04301631241098462,0.045698213577270434,0.02283901699733627,0.00395112037658686,0.0005628585371071013
digits,oja,small_mlp,5,0.9177777777777779,0.011732617823301587,0.32652777777777775,0.04301631241098462,0.045698213577270434,0.02283901699733627,0.3840048789978027,0.04692584209151202
digits,raw_pixels,knn5,5,0.9833333333333332,0.0,0.0,0.0,8.068084716796874e-05,8.60238550692506e-06,0.8651212692260742,0.0686091131694068
digits,raw_pixels,linear_svm,5,0.9666666666666668,0.0,0.0,0.0,8.068084716796874e-05,8.60238550692506e-06,0.04554514884948728,0.033156586475054026
digits,raw_pixels,logreg,5,0.9555555555555555,1.1102230246251565e-16,0.0,0.0,8.068084716796874e-05,8.60238550692506e-06,0.14445137977600092,0.02842324521930824
digits,raw_pixels,ridge,5,0.9388888888888888,0.0,0.0,0.0,8.068084716796874e-05,8.60238550692506e-06,0.0024497032165526796,0.00016551713563431805
digits,raw_pixels,small_mlp,5,0.9361111111111111,0.012171612389003729,0.0,0.0,8.068084716796874e-05,8.60238550692506e-06,0.11143088340759273,0.036924012205724124
digits,sparse_oja,knn5,5,0.7894444444444444,0.015850380686319027,0.8984375,0.0,0.22228899002075195,0.1072227200362646,0.8939977169036866,0.10642124461310594
digits,sparse_oja,linear_svm,5,0.8333333333333334,0.026234931006928003,0.8984375,0.0,0.22228899002075195,0.1072227200362646,0.06230626106262205,0.039167841021326415
digits,sparse_oja,logreg,5,0.8161111111111111,0.026199613605670226,0.8984375,0.0,0.22228899002075195,0.1072227200362646,1.1650402545928955,0.1314996722791368
digits,sparse_oja,ridge,5,0.7816666666666666,0.022054925823643552,0.8984375,0.0,0.22228899002075195,0.1072227200362646,0.03540029525756831,0.03903030174284673
digits,sparse_oja,small_mlp,5,0.6066666666666667,0.09238940669327737,0.8984375,0.0,0.22228899002075195,0.1072227200362646,0.3798206806182861,0.13671708138328195
digits,standard_cnn_penultimate,knn5,2,0.9625,0.001388888888888773,0.3543619791666667,0.025368923611111066,0.32628679275512695,0.04261040687561035,0.7870208024978638,0.01100766658782959
digits,standard_cnn_penultimate,linear_svm,2,0.9416666666666668,0.0,0.3543619791666667,0.025368923611111066,0.32628679275512695,0.04261040687561035,0.16264009475708005,0.03384709358215335
digits,standard_cnn_penultimate,logreg,2,0.8944444444444445,0.002777777777777768,0.3543619791666667,0.025368923611111066,0.32628679275512695,0.04261040687561035,0.13776290416717524,0.024605393409729046
digits,standard_cnn_penultimate,ridge,2,0.9319444444444445,0.0013888888888888284,0.3543619791666667,0.025368923611111066,0.32628679275512695,0.04261040687561035,0.04376125335693355,0.04010391235351565
digits,standard_cnn_penultimate,small_mlp,2,0.8430555555555554,0.015277777777777779,0.3543619791666667,0.025368923611111066,0.32628679275512695,0.04261040687561035,0.2762269973754883,0.048145532608032254
