dataset,seed,feature_source,linear_probe_accuracy,silhouette,davies_bouldin,fisher_ratio,mean_intra_class_distance,mean_inter_class_distance,inter_intra_ratio,activation_sparsity,dead_unit_rate,mean_activation_per_unit,utilization_entropy,class_selectivity_index,train_subset_n,test_subset_n,status,error
mnist,0,oja,0.8,-0.095964603126049,5.421881068125797,0.2514082340341161,8.957877159118652,7.16970682144165,0.8003801228891001,0.140953125,0.0,4.195772171020508,4.758667867473001,0.1860016350983642,2000,1000,ok,
mnist,0,sparse_oja,0.279,-0.1836788952350616,38.541394499455336,0.2796563132819256,2.5350711345672607,1.2040908336639404,0.4749731939451099,0.8984375,0.8984375,0.6135937571525574,2.564949357448416,0.0085048877517692,2000,1000,ok,
mnist,0,homeostatic_sparse_oja,0.293,-0.1836156845092773,38.329259400981385,0.2799771687380625,2.5347843170166016,1.204503893852234,0.4751898951581961,0.8984375,0.8984375,0.6060402393341064,2.564949357448416,0.0086122163338586,2000,1000,ok,
mnist,0,raw_pixels,0.796,-0.0329241640865802,4.124297718587825,0.1710241832260358,20.874326705932617,22.96383285522461,1.1000993315246448,0.805579081632653,0.2002551020408163,0.1335794329643249,5.8956030693481,0.4947500590767179,2000,1000,ok,
mnist,1,oja,0.792,-0.0952441394329071,5.462658538502101,0.3172153839752416,8.756549835205078,7.117232799530029,0.8127896184539366,0.1163828125,0.0,4.2773027420043945,4.785134337788708,0.1805256822844967,2000,1000,ok,
mnist,1,sparse_oja,0.277,-0.1784443259239196,480.1467417585508,0.3588005529763411,2.489454746246338,1.2605983018875122,0.506375263012018,0.8984375,0.8984375,0.6136854887008667,2.564949357448417,0.0105757824494503,2000,1000,ok,
mnist,1,homeostatic_sparse_oja,0.281,-0.1783314645290374,302.2630984333098,0.3592300147649279,2.489085912704468,1.2613825798034668,0.5067653845794456,0.8984375,0.8984375,0.6059949994087219,2.564949357448417,0.0106976088718511,2000,1000,ok,
mnist,1,raw_pixels,0.807,-0.0381762087345123,4.278264724046427,0.1671204745316993,20.876697540283203,22.899463653564453,1.0968910963708254,0.8049770408163265,0.2168367346938775,0.1335895508527755,5.890801894589747,0.4792987751983562,2000,1000,ok,
mnist,2,oja,0.792,-0.0972277522087097,5.564291486072367,0.3190857064099777,8.522971153259277,6.740481376647949,0.7908605174698409,0.072015625,0.0,4.612242698669434,4.809733455464858,0.1479165685013868,2000,1000,ok,
mnist,2,sparse_oja,0.376,-0.1658267974853515,13.730785212757109,0.3448813958562038,2.4458887577056885,1.2738409042358398,0.5208090107214104,0.8984375,0.8984375,0.6160778999328613,2.564949357448417,0.0093001539935357,2000,1000,ok,
mnist,2,homeostatic_sparse_oja,0.404,-0.1657986044883728,13.702603066061874,0.3451891493315218,2.44565224647522,1.2742416858673096,0.5210232516512848,0.8984375,0.8984375,0.608620285987854,2.564949357448417,0.0094118145061656,2000,1000,ok,
mnist,2,raw_pixels,0.79,-0.0415906533598899,4.402662385112064,0.1647467817212213,20.78136444091797,22.632583618164062,1.089080733005192,0.8058941326530612,0.221938775510204,0.1333306580781936,5.8817552136236,0.4803248228391214,2000,1000,ok,
mnist,3,oja,0.827,-0.1135060563683509,5.918570217505694,0.3280706084661342,8.485723495483398,6.599853515625,0.777759671186205,0.060203125,0.0,4.699370384216309,4.822764668204774,0.1566251979675144,2000,1000,ok,
mnist,3,sparse_oja,0.263,-0.207840621471405,101.27200376360784,0.3455664011910986,2.427607536315918,1.230066418647766,0.5066990443249242,0.8984375,0.8984375,0.6190317869186401,2.564949357448417,0.0114131703157909,2000,1000,ok,
mnist,3,homeostatic_sparse_oja,0.279,-0.2077732980251312,98.71769562955176,0.3458908744797856,2.427268743515014,1.230229139328003,0.5068368068489842,0.8984375,0.8984375,0.611372709274292,2.564949357448417,0.0115432424936443,2000,1000,ok,
mnist,3,raw_pixels,0.815,-0.0359505638480186,4.074327816174156,0.1815433610859614,20.65366744995117,22.838666915893555,1.105792323384506,0.8038890306122449,0.2308673469387755,0.1350997984409332,5.89397287758216,0.4705095056406393,2000,1000,ok,
mnist,4,oja,0.796,-0.0983580946922302,6.010228051007623,0.3033553245933102,8.593461036682129,6.892371654510498,0.8020483976233619,0.0799453125,0.0,4.445259094238281,4.799571942072458,0.1487956169294193,2000,1000,ok,
mnist,4,sparse_oja,0.316,-0.1920493692159652,20.290848848425377,0.3410630338437682,2.4342620372772217,1.2452778816223145,0.5115627909206829,0.8984375,0.8984375,0.6107656359672546,2.564949357448416,0.009708818339277,2000,1000,ok,
mnist,4,homeostatic_sparse_oja,0.332,-0.1919528841972351,20.37725137091143,0.3415943157690588,2.4338483810424805,1.2455488443374634,0.5117610669747023,0.8984375,0.8984375,0.6029938459396362,2.564949357448416,0.0098217083141207,2000,1000,ok,
mnist,4,raw_pixels,0.8,-0.0474849082529544,4.125507023376491,0.1703153220982189,20.76155471801757,22.75711441040039,1.0961180277433609,0.8072066326530613,0.2155612244897959,0.1319312900304794,5.881706489118008,0.4866209569748263,2000,1000,ok,
mnist,5,oja,0.82,-0.0785853937268257,5.46198596360583,0.3683995148624777,8.372308731079102,6.802836894989014,0.8125401383892096,0.0936640625,0.0,4.455931186676025,4.78839937116822,0.1800434329197742,2000,1000,ok,
mnist,5,sparse_oja,0.257,-0.1653971672058105,52.14631237675958,0.4038881271222128,2.398172378540039,1.2695660591125488,0.5293889924146765,0.8984375,0.8984375,0.6222612261772156,2.564949357448417,0.0106741116032935,2000,1000,ok,
mnist,5,homeostatic_sparse_oja,0.266,-0.1653226464986801,52.67021541270933,0.4039679015374963,2.398129463195801,1.270042061805725,0.5295969551671781,0.8984375,0.8984375,0.6145399808883667,2.564949357448417,0.0107979844906367,2000,1000,ok,
mnist,5,raw_pixels,0.808,-0.0354408025741577,3.9914515851575856,0.1888546559480111,20.324806213378903,22.45640182495117,1.1048765527795306,0.8051020408163265,0.25,0.1342288106679916,5.875406658708605,0.4585768451382007,2000,1000,ok,
mnist,6,oja,0.806,-0.086710087954998,4.650737312561879,0.3926861372919027,8.484452247619629,7.016643047332764,0.8270001224063114,0.1168359375,0.0,4.11176347732544,4.783357344107804,0.1992023652419448,2000,1000,ok,
mnist,6,sparse_oja,0.325,-0.1762420684099197,23.39068465917169,0.440166934026899,2.363318920135498,1.1403862237930298,0.4825359007099916,0.8984375,0.8984375,0.6121591329574585,2.564949357448417,0.0118676239508204,2000,1000,ok,
mnist,6,homeostatic_sparse_oja,0.337,-0.1760950535535812,22.791011494539323,0.4403606282803741,2.3633391857147217,1.1418373584747314,0.4831457817718761,0.8984375,0.8984375,0.6043837666511536,2.564949357448417,0.0120009600068442,2000,1000,ok,
mnist,6,raw_pixels,0.819,-0.0393200367689132,4.018469061397261,0.1756017471999917,20.4537296295166,22.500465393066406,1.1000666284644285,0.8075408163265306,0.2346938775510204,0.1321453303098678,5.871781859329193,0.4811597919205622,2000,1000,ok,
mnist,7,oja,0.789,-0.0776119977235794,5.697006898153262,0.2801560506439102,8.750484466552734,7.192008018493652,0.8218982670025963,0.1149140625,0.0,4.266595840454102,4.773457518272815,0.1812523123808205,2000,1000,ok,
mnist,7,sparse_oja,0.311,-0.1851290911436081,43.44183704494625,0.2981683238886283,2.4919824600219727,1.3194202184677124,0.5294660936159034,0.8984375,0.8984375,0.6145850419998169,2.564949357448417,0.0102375124115496,2000,1000,ok,
mnist,7,homeostatic_sparse_oja,0.322,-0.1595924794673919,7.85474447395477,0.3539715946294243,2.627205610275269,1.7079261541366575,0.6500923062344777,0.8984375,0.890625,0.6058276295661926,2.614157047314996,0.0162056721164844,2000,1000,ok,
mnist,7,raw_pixels,0.794,-0.0358694344758987,4.1696429347876265,0.1741878294226106,20.66580581665039,22.65477561950684,1.0962444833025984,0.8044808673469388,0.2257653061224489,0.1344436854124069,5.897177761037357,0.4767438789297427,2000,1000,ok,
mnist,8,oja,0.834,-0.1013557538390159,6.3582300590877,0.2811287977303286,8.643036842346191,6.773595809936523,0.7837055346968782,0.1023515625,0.0,4.531820297241211,4.778187200720085,0.176293195458129,2000,1000,ok,
mnist,8,sparse_oja,0.343,-0.1796842217445373,80.33067575118727,0.3154846963506584,2.466782569885254,1.211853265762329,0.4912687808630855,0.8984375,0.8984375,0.614101767539978,2.564949357448416,0.0113505601184442,2000,1000,ok,
mnist,8,homeostatic_sparse_oja,0.344,-0.1796704232692718,79.51662582946028,0.3156984289933926,2.466599941253662,1.2118760347366333,0.4913143856316642,0.8984375,0.8984375,0.6064016819000244,2.564949357448416,0.011482851288747,2000,1000,ok,
mnist,8,raw_pixels,0.804,-0.0399447828531265,4.068423630356591,0.1780643969950706,20.649608612060547,22.775693893432617,1.1029600764505152,0.8063954081632653,0.2193877551020408,0.1333171129226684,5.887507820049644,0.4799772730591345,2000,1000,ok,
mnist,9,oja,0.814,-0.1122678220272064,6.661848859765861,0.2785790864842168,8.744698524475098,6.703166961669922,0.7665406580807786,0.106515625,0.0,4.517814636230469,4.78193931492345,0.1697365098516456,2000,1000,ok,
