dataset,feature_source,class_selectivity_index_mean,activation_sparsity_mean,dead_unit_rate_mean,utilization_entropy_mean
fashion_mnist,homeostatic_sparse_oja,0.0199259239481761,0.8984375,0.89765625,2.56998006044583
fashion_mnist,mlp_hidden,0.4067979486892,0.266721875,0.0953125,4.685344375572623
fashion_mnist,oja,0.2742702154442668,0.12996171875,0.0,4.746912917932848
fashion_mnist,raw_pixels,0.4592924875843965,0.4996362244897958,0.0019132653061223,6.460759673123812
fashion_mnist,sparse_oja,0.019760102557484,0.8984375,0.89765625,2.569510536813297
fashion_mnist,standard_cnn_penultimate,0.215615307749249,0.360528125,0.31875,4.45962699294853
mnist,homeostatic_sparse_oja,0.0111190846597309,0.8984375,0.89765625,2.5698701264350747
mnist,mlp_hidden,0.3813935023732483,0.134684375,0.015625,4.81451219126304
mnist,oja,0.1726392516633495,0.1003781249999999,0.0,4.788121302019617
mnist,raw_pixels,0.4789603886080488,0.8056378826530611,0.2237244897959183,5.886649156450469
mnist,sparse_oja,0.0104132976324762,0.8984375,0.8984375,2.564949357448417
mnist,standard_cnn_penultimate,0.1710885232314467,0.3559453125,0.340625,4.430782340158055
