dataset,model,A_before_mean,A_before_std,A_after_mean,A_after_std,A_T2_mean,A_T2_std,avg_final_mean,avg_final_std,raw_forgetting_mean,raw_forgetting_std,normalized_forgetting_mean,normalized_forgetting_std,n
fashion_mnist,cnn,0.22168000000000002,0.03610058171276468,0.16076000000000001,0.090009932785221,0.04336,0.07874508238614016,0.10206,0.008784531860036708,0.06091999999999999,0.08840956961777384,0.27230905361904806,0.42667606210516723,5
fashion_mnist,cnn_replay_10pct,0.20268000000000003,0.012647213131753581,0.09012,0.09308121185287607,0.18868000000000001,0.04413787489220567,0.1394,0.04527162466711347,0.11255999999999997,0.09385919241075966,0.5531235746554676,0.46158222978701363,5
fashion_mnist,hebbian_oja,0.19008,0.025120748396494884,0.0,0.0,0.20484,0.010934715359807024,0.10242,0.005467357679903512,0.19008,0.025120748396494884,1.0,0.0,5
fashion_mnist,hebbian_oja_replay_10pct,0.18736,0.02377073831415424,0.0,0.0,0.21264,0.006605149506256464,0.10632,0.003302574753128232,0.18736,0.02377073831415424,1.0,0.0,5
fashion_mnist,sparse_hebbian_oja,0.19812000000000002,0.008005747935077648,0.0,0.0,0.20672000000000001,0.014691221868857617,0.10336000000000001,0.0073456109344288084,0.19812000000000002,0.008005747935077648,1.0,0.0,5
fashion_mnist,sparse_hebbian_oja_replay_10pct,0.19812000000000002,0.008005747935077648,0.0,0.0,0.19288,0.012907827082820717,0.09644,0.006453913541410359,0.19812000000000002,0.008005747935077648,1.0,0.0,5
mnist,cnn,0.2015956411753259,0.05468526536637852,0.11947849776221053,0.1017929080286851,0.06739354042378112,0.0923540335595144,0.0934360190929958,0.004894331464760739,0.08211714341311538,0.13719940207107933,0.33579047903598597,0.5913676333092344,5
mnist,cnn_replay_10pct,0.24748005448530835,0.10117356624924369,0.1682428488032691,0.08512541035964542,0.031186998559967077,0.06973624879427442,0.09971492368161806,0.011935929051589354,0.0792372056820393,0.13418403408475288,0.21374540533365033,0.4673121482435082,5
mnist,hebbian_oja,0.27312706752286436,0.06294338828749889,0.0,0.0,0.2177329767537543,0.015685718714070207,0.10886648837687714,0.007842859357035114,0.27312706752286436,0.06294338828749889,1.0,0.0,5
mnist,hebbian_oja_replay_10pct,0.255652850749173,0.05235139654979772,0.0,0.0,0.20119317012960294,0.017268758143303333,0.10059658506480143,0.00863437907165168,0.255652850749173,0.05235139654979772,1.0,0.0,5
mnist,sparse_hebbian_oja,0.20513718622300053,0.017550607463750745,0.0,0.0,0.2275252005760131,0.05573826807107883,0.11376260028800653,0.027869134035539395,0.20513718622300053,0.017550607463750745,1.0,0.0,5
mnist,sparse_hebbian_oja_replay_10pct,0.20614905623662186,0.016690933040674052,0.0,0.0,0.227278337790578,0.061568500319277276,0.11363916889528898,0.030784250159638614,0.20614905623662186,0.016690933040674052,1.0,0.0,5
